,target
0,0.008939974457215836
1,0.007009345794392523
2,0.008748906386701663
3,0.009497964721845319
4,0.010824313072439634
5,0.010906040268456376
6,0.012345679012345678
7,0.00909090909090909
8,0.0136986301369863
9,0.007705479452054794
10,0.00909090909090909
11,0.007692307692307693
12,0.010824313072439634
13,0.010906040268456376
14,0.008424599831508003
15,0.004415011037527594
16,0.009900990099009901
17,0.008928571428571428
18,0.013262599469496022
19,0.010416666666666666
20,0.012165450121654502
21,0.006355932203389831
22,0.012345679012345678
23,0.0136986301369863
24,0.008748906386701663
25,0.012165450121654502
26,0.009900990099009901
27,0.007929515418502203
28,0.008728179551122194
29,0.0075
30,0.00909090909090909
31,0.009497964721845319
32,0.008939974457215836
33,0.012578616352201259
34,0.013853904282115869
35,0.010824313072439634
36,0.007929515418502203
37,0.009900990099009901
38,0.007009345794392523
39,0.007705479452054794
40,0.011764705882352941
41,0.009067357512953367
42,0.0075
43,0.007009345794392523
44,0.008748906386701663
45,0.009067357512953367
46,0.004291845493562232
47,0.00909090909090909
48,0.012578616352201259
49,0.008748906386701663
50,0.010738255033557046
51,0.010824313072439634
52,0.007620660457239628
53,0.007620660457239628
54,0.012345679012345678
55,0.004415011037527594
56,0.009497964721845319
57,0.009900990099009901
58,0.009497964721845319
59,0.013853904282115869
60,0.009497964721845319
61,0.008928571428571428
62,0.013853904282115869
63,0.009067357512953367
64,0.004395604395604396
65,0.008424599831508003
66,0.009067357512953367
67,0.007692307692307693
68,0.012578616352201259
69,0.012165450121654502
70,0.004291845493562232
71,0.011441647597254004
72,0.007705479452054794
73,0.007009345794392523
74,0.007009345794392523
75,0.009497964721845319
76,0.007009345794392523
77,0.007692307692307693
78,0.012165450121654502
79,0.011441647597254004
80,0.010738255033557046
81,0.006355932203389831
82,0.007620660457239628
83,0.013853904282115869
84,0.008748906386701663
85,0.010738255033557046
86,0.004123711340206186
87,0.007692307692307693
88,0.011764705882352941
89,0.0136986301369863
90,0.009067357512953367
91,0.004395604395604396
92,0.007929515418502203
93,0.011441647597254004
94,0.011441647597254004
95,0.011764705882352941
96,0.011764705882352941
97,0.007705479452054794
98,0.010906040268456376
99,0.009067357512953367
100,0.012578616352201259
101,0.010824313072439634
102,0.00909090909090909
103,0.010139416983523447
104,0.012345679012345678
105,0.009458297506448839
106,0.009458297506448839
107,0.013262599469496022
108,0.006355932203389831
109,0.004761904761904762
110,0.004123711340206186
111,0.012345679012345678
112,0.007929515418502203
113,0.007009345794392523
114,0.006355932203389831
115,0.004291845493562232
116,0.008928571428571428
117,0.008939974457215836
118,0.009458297506448839
119,0.009458297506448839
120,0.013853904282115869
121,0.012578616352201259
122,0.004123711340206186
123,0.012578616352201259
124,0.004395604395604396
125,0.009836065573770493
126,0.004415011037527594
127,0.009067357512953367
128,0.010416666666666666
129,0.008939974457215836
130,0.008928571428571428
131,0.010139416983523447
132,0.0136986301369863
133,0.011764705882352941
134,0.007692307692307693
135,0.004395604395604396
136,0.004123711340206186
137,0.004395604395604396
138,0.011764705882352941
139,0.008928571428571428
140,0.006355932203389831
141,0.004395604395604396
142,0.012345679012345678
143,0.010416666666666666
144,0.009900990099009901
145,0.009900990099009901
146,0.004395604395604396
147,0.006355932203389831
148,0.012345679012345678
149,0.007929515418502203
150,0.008939974457215836
151,0.004761904761904762
152,0.00909090909090909
153,0.013853904282115869
154,0.004415011037527594
155,0.009900990099009901
156,0.009067357512953367
157,0.007692307692307693
158,0.004395604395604396
159,0.009067357512953367
160,0.007620660457239628
161,0.008728179551122194
162,0.012578616352201259
163,0.008928571428571428
164,0.010416666666666666
165,0.007929515418502203
166,0.010906040268456376
167,0.011441647597254004
168,0.007009345794392523
169,0.011441647597254004
170,0.009458297506448839
171,0.013262599469496022
172,0.010139416983523447
173,0.010139416983523447
174,0.010738255033557046
175,0.010416666666666666
176,0.007705479452054794
177,0.012345679012345678
178,0.004291845493562232
179,0.007620660457239628
180,0.008928571428571428
181,0.012345679012345678
182,0.008748906386701663
183,0.0136986301369863
184,0.004291845493562232
185,0.006355932203389831
186,0.011441647597254004
187,0.004415011037527594
188,0.010738255033557046
189,0.009458297506448839
190,0.008748906386701663
191,0.009067357512953367
192,0.0075
193,0.012165450121654502
194,0.010906040268456376
195,0.007620660457239628
196,0.012165450121654502
197,0.008939974457215836
198,0.011764705882352941
199,0.010416666666666666
200,0.010738255033557046
201,0.010416666666666666
202,0.004395604395604396
203,0.007705479452054794
204,0.004395604395604396
205,0.009067357512953367
206,0.008728179551122194
207,0.009067357512953367
208,0.013262599469496022
209,0.007705479452054794
